학교구분,학교코드,학교명,본분교,학제,지역,설립구분,관련법령,법인명,학교상태,중문학교명,영문학교명,addr,주소,Unnamed: 14,Unnamed: 15,Unnamed: 16,영문주소,중문주소,우편번호,학교개교일,학교홈페이지,총장(대학원장)명,"학교대표
번호","학교대표
팩스번호",x,y,lng,lat
대학,37.0,한경대학교,본교,대학교,경기,국립,고등교육법,해당없음,기존,?京大?校,Hankyong National University,경기도 안성시 중앙로 327 ,"경기도 안성시 중앙로 327 (석정동, 한경대학교) ",경기도,안성시,중앙로,"327, Jungang-ro, Anseong-si, Gyeonggi-do, Republic of Korea","327, Jungang-ro, Anseong-si, Gyeonggi-do, Republic of Korea",17579,2012-03-01,www.hknu.ac.kr,이원희,031-670-5114,031-670-5469,978801.712957205,1890390.70481247,127.26171635841794,37.01178021567634
대학,46.0,가톨릭대학교,본교,대학교,경기,사립,고등교육법,가톨릭학원,기존,加?立大?校,The Catholic University Of Korea,경기도 부천시 원미구 지봉로 43 ,"경기도 부천시 원미구 지봉로 43 (역곡동, 가톨릭대학교성심교정) ",경기도,부천시,원미구,"43, Jibong-ro, Bucheon-si, Gyeonggi-do, Republic of Korea","43, Jibong-ro, Bucheon-si, Gyeonggi-do, Republic of Korea",14662,1995-03-01,www.catholic.ac.kr,원종철,02-2164-4114,02-2164-4754,938317.711385946,1943204.13723549,126.80229275100588,37.486022078454816
대학,51.0,강남대학교,본교,대학교,경기,사립,고등교육법,강남학원,기존,江南大?校,Kangnam University,경기도 용인시 기흥구 강남로 40 ,"경기도 용인시 기흥구 강남로 40 (구갈동, 강남대학교) ",경기도,용인시,기흥구,"40, Gangnam-ro, Giheung-gu, Yongin-si, Gyeonggi-do, Republic of Korea","40, Gangnam-ro, Giheung-gu, Yongin-si, Gyeonggi-do, Republic of Korea",16979,1948-08-12,www.kangnam.ac.kr,윤신일,031-280-3500,031-280-3173,967379.084546747,1919514.32451478,127.1320505750928,37.27397406330759
대학,56.0,경기대학교,본교,대학교,경기,사립,고등교육법,경기학원,기존,京畿大?校,Kyonggi University,경기도 수원시 영통구 광교산로 154-42 ,"경기도 수원시 영통구 광교산로 154-42 (이의동, 경기대학교) ",경기도,수원시,영통구,"154-42, Gwanggyosan-ro, Yeongtong-gu, Suwon-si, Gyeonggi-do, Republic of Korea","154-42, Gwanggyosan-ro, Yeongtong-gu, Suwon-si, Gyeonggi-do, Republic of Korea",16227,1947-11-08,www.kyonggi.ac.kr,전준철(직무대행),031-249-9114,031-243-2194,958688.169183276,1922508.59438917,127.0338571019521,37.30061822321413
대학,63.0,가천대학교,본교,대학교,경기,사립,고등교육법,가천학원,기존,嘉泉大?校,Gachon University,경기도 성남시 수정구 성남대로 1342 ,"경기도 성남시 수정구 성남대로 1342 (복정동, 가천대학교) ",경기도,성남시,수정구,"1342, Seongnam-daero, Sujeong-gu, Seongnam-si, Gyeonggi-do, Republic of Korea","1342, Seongnam-daero, Sujeong-gu, Seongnam-si, Gyeonggi-do, Republic of Korea",13120,2012-03-01,www.gachon.ac.kr,이길여,031-750-5114,031-753-8828,967163.380456674,1939302.90127179,127.12873986369324,37.452334505676696
대학,82.0,단국대학교,본교,대학교,경기,사립,고등교육법,단국대학,기존,檀?大?校,Dankook University,경기도 용인시 수지구 죽전로 152 ,"경기도 용인시 수지구 죽전로 152 (죽전동, 단국대학교) ",경기도,용인시,수지구,"152, Jukjeon-ro, Suji-gu, Yongin-si, Gyeonggi-do, Republic of Korea","152, Jukjeon-ro, Suji-gu, Yongin-si, Gyeonggi-do, Republic of Korea",16890,1947-11-03,www.dankook.ac.kr,김수복,1899-3700,031-8021-7106,967130.934892125,1924875.64146318,127.12901434139688,37.32229109367953
대학,97.0,대진대학교,본교,대학교,경기,사립,고등교육법,대진대학교,기존,大?大?校,Daejin University,경기도 포천시 호국로 1007 ,"경기도 포천시 호국로 1007 (선단동, 대진대학교) ",경기도,포천시,호국로,"1007, Hoguk-ro, Pocheon-si, Gyeonggi-do, Republic of Korea","1007, Hoguk-ro, Pocheon-si, Gyeonggi-do, Republic of Korea",11159,1991-11-15,www.daejin.ac.kr,임영문,031-539-1114,031-539-1115,969803.37210433,1985276.36080493,127.15668495928094,37.8667952883721
대학,108.0,루터대학교,본교,대학교,경기,사립,고등교육법,루터교학원,기존,루터大?校,Luther University,경기도 용인시 기흥구 금화로82번길 20 ,"경기도 용인시 기흥구 금화로82번길 20 (상갈동, 루터대학교) ",경기도,용인시,기흥구,"20, Geumhwa-ro 82beon-gil, Giheung-gu, Yongin-si, Gyeonggi-do, Republic of Korea","20, Geumhwa-ro 82beon-gil, Giheung-gu, Yongin-si, Gyeonggi-do, Republic of Korea",17072,1997-12-05,www.ltu.ac.kr,권득칠 ,031-679-2300,031-283-1505,965716.562870074,1918462.79846432,127.11334691929088,37.26443603383126
대학,109.0,명지대학교,본교,대학교,경기,사립,고등교육법,명지학원,기존,明知大?校 自然校?,Myongji University Natural Science Campus,경기도 용인시 처인구 명지로 116 ,"경기도 용인시 처인구 명지로 116 (남동, 명지대학교용인캠퍼스) ",경기도,용인시,처인구,"116, Myongji-ro, Cheoin-gu, Yongin-si, Gyeonggi-do, Republic of Korea","116, Myongji-ro, Cheoin-gu, Yongin-si, Gyeonggi-do, Republic of Korea",17058,1948-09-07,www.mju.ac.kr,유병진,1577-0020,031-332-2459,972514.092141223,1913708.77758172,127.19018465082702,37.2218091844536
대학,125.0,서울신학대학교,본교,대학교,경기,사립,고등교육법,서울신학대학교,기존,首?神?大?,Seoul Theological University,경기도 부천시 소사구 호현로489번길 52 ,"경기도 부천시 소사구 호현로489번길 52 (소사본동, 서울신학대학교) ",경기도,부천시,소사구,"52, Hohyeon-ro 489beon-gil, Bucheon-si, Gyeonggi-do, Republic of Korea","52, Hohyeon-ro 489beon-gil, Bucheon-si, Gyeonggi-do, Republic of Korea",14754,1959-02-26,www.stu.ac.kr,황덕형,032-340-9114,032-349-9400,937082.899879502,1942552.99310705,126.78838206192624,37.48007001321416
대학,127.0,서울장신대학교,본교,대학교,경기,사립,고등교육법,광명학원,기존,首??神大?校,Seoul Jangsin University,경기도 광주시 경안로 145 ,"경기도 광주시 경안로 145 (경안동, 서울장신대학교) ",경기도,광주시,경안로,"145, Gyeongan-ro, Gwangju-si, Gyeonggi-do, Republic of Korea","145, Gyeongan-ro, Gwangju-si, Gyeonggi-do, Republic of Korea",12749,1984-12-21,www.sjs.ac.kr,안주훈,031-799-9113,031-765-1232,977458.559203013,1934578.79401832,127.24528310691105,37.41006123666875
