지역,latitude,longitude
수원시 장안구, 37.30397090000028, 127.00174327903562
수원시 권선구, 37.25768699999995, 126.96353177903785
수원시 팔달구, 37.28256950000001, 127.01171837903999
수원시 영통구, 37.259599900001895, 127.04234075393329
용인시 처인구, 37.23434599999878, 127.192964779039
용인시 기흥구, 37.2804499000003, 127.106282679038
용인시 수지구, 37.322242199999195, 127.08940067903866
성남시 수정구, 37.45039559999981, 127.13725427904112
성남시 중원구, 37.43052329999992, 127.12883047903613
성남시 분당구, 37.382819499999144, 127.11054617903625
부천시, 37.503591699999895, 126.75762077903995
화성시, 37.19956500000045, 126.82302577903695
안산시 상록구, 37.30108130000041, 126.83827217903396
안산시 단원구, 37.32101699999964, 126.80688497904231
안양시 만안구, 37.38664900000111, 126.92394577903463
안양시 동안구, 37.39257390000054, 126.94297467903773
평택시, 36.989605799999936, 127.10510177903781
시흥시, 37.380176999999485, 126.79455477903673
김포시, 37.61534999999992, 126.70716477903693
광주시, 37.4267878151939, 127.25816050743553
광명시, 37.47861759999975, 126.8562711790359
군포시, 37.36152300000101, 126.92695877903769
하남시, 37.53930139978594, 127.20649497931808
오산시, 37.14988699999913, 127.0690826790372
이천시, 37.27234199999979, 127.42665467903961
안성시, 37.00805459999921, 127.27139387904103
의왕시, 37.34488690000084, 126.96409435393785
양평군, 37.49179099999989, 127.47921767903722
여주시, 37.298341899999436, 127.62870277903738
과천시, 37.4292012999992, 126.97929577903906
고양시 덕양구, 37.63743050000004, 126.82374537903807
고양시 일산동구, 37.65862180000045, 126.77100645393821
고양시 일산서구, 37.67799146170975, 126.74110481457048
남양주시, 37.635985000004034, 127.21228275393878
파주시, 37.76018600000026, 126.77150377903831
의정부시, 37.738082999999605, 127.02537367903525
양주시, 37.78532890000048, 127.03746767903925
구리시, 37.594265899999066, 127.12125267903824
포천시, 37.89486699999945, 127.19186117903664
동두천시, 37.90366429999981, 127.05225917903596
가평군, 37.83150789999981, 127.50116167903839
연천군, 38.09673800000029, 127.06637577903746
